Feature,Case Id,Test Case,Pass,Fail,N/A,Measured,Comment,Measurement Name,Value,Unit,Target,Failure
Crosswalk APIs/Native File System,DirectoryEntry_createReader_exist,Check if DirectoryEntry.createReader exists,1,,,,,,,,,
Crosswalk APIs/Native File System,DirectoryEntry_getDirectory_exist,Check if DirectoryEntry.getDirectory exists,1,,,,,,,,,
Crosswalk APIs/Native File System,DirectoryEntry_getFile_base,Check if getFile() has all valid arguments that expecting successCallback() to be invoke,1,,,,,,,,,
Crosswalk APIs/Native File System,DirectoryEntry_getFile_exist,Check if DirectoryEntry.getFile exists,1,,,,,,,,,
Crosswalk APIs/Native File System,DirectoryEntry_removeRecursively_exist,Check if DirectoryEntry.removeRecursively exists,1,,,,,,,,,
Crosswalk APIs/Native File System,DirectoryReader_readEntries_exist,Check if DirectoryReader.readEntries exists,1,,,,,,,,,
Crosswalk APIs/Native File System,EntriesCallback_handleEvent_entries_type,Check if the type of the parameter entries is Entry[] in EntryCallback interface,1,,,,,,,,,
Crosswalk APIs/Native File System,EntriesCallback_handleEvent_exist,Check if EntriesCallback.handleEvent exists,1,,,,,,,,,
Crosswalk APIs/Native File System,EntryCallback_handleEvent_entry_type,Check if the type of the parameter entry is Entry in EntryCallback interface,1,,,,,,,,,
Crosswalk APIs/Native File System,EntryCallback_handleEvent_exist,Check if EntryCallback.handleEvent exists,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_copyTo_base,Check if can copy a file to a different location on the file system,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_copyTo_exist,Check if Entry.copyTo exists,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_fullPath_exist,Check if Entry.fullPath exists,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_fullPath_readonly,Check if the Entry.fullPath attribute is readonly,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_fullPath_type,Check if the type of Entry.fullPath is DOMString,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_getMetadata_exist,Check if Entry.getMetadata exists,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_getParent_exist,Check if Entry.getParent exists,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isDirectory_exist,Check if Entry.isDirectory exists,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isDirectory_false,Check if the Entry is not a directory,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isDirectory_readonly,Check if the Entry.isDirectory attribute is readonly,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isDirectory_true,Check if the Entry is a directory,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isDirectory_type,Check if the type of Entry.isDirectory attribute is boolean,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isFile_exist,Check if Entry.isFile exists,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isFile_false,Check if the Entry is not a file,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isFile_readonly,Check if the Entry.isFile attribute is readonly,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isFile_true,Check if the Entry is a file,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_isFile_type,Check if the type of Entry.isFile attribute is boolean,1,,,,,,,,,
Crosswalk APIs/Native File System,Entry_moveTo_exist,Check if Entry.moveTo exists,1,,,,,,,,,
