Feature,Case Id,Test Case,Pass,Fail,N/A,Measured,Comment,Measurement Name,Value,Unit,Target,Failure
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapterChangeCallback_notexist,Check if is possible to call BluetoothAdapterChangeCallback in new expresion,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapterChangeCallback_onnamechanged,Check onnamechanged listener is invoked after setName(),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapterChangeCallback_onstatechanged,Check onstatechanged listener is invoked after setPowered(),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapterChangeCallback_onvisibilitychanged,Check onvisibilitychanged listener is invoked after setVisible(),,,1,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3434 XWALK-3434]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_address_attribute,Check if address attribute exists in device,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_callback_onerror,Check if error callback of createBonding method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_errorCallback_invalid_cb,Check argument createBonding() errorCallback validation,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_errorCallback_TypeMismatch,Check whether createBonding() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_exist,Method of createBonding exists in bluetooth adapter,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_missarg,Check createBonding with missing non-optional argument,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_successCallback_invalid_cb,Check argument createBonding() successCallback validation,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_successCallback_TypeMismatch,Check whether createBonding() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_createBonding_with_error_null_and_success_TypeMismatch,Check whether createBonding() method called with invalid successCallback and errorCallback set to null throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_destroyBonding_callback_onerror,Check if error callback of destroyBonding method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_destroyBonding_exist,Method of destroyBonding exists in bluetooth adapter,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_destroyBonding_with_success_null_and_error_TypeMismatch,Check whether destroyBonding() method called with invalid errorCallback and successCallback set to null throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_destroyBonding_with_success_TypeMismatch_and_error_null,Check whether destroyBonding() method called with invalid successCallback and errorCallback set to null throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_discoverDevices,Check with non-optional arguments discoverDevices(valid_successCallback),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_discoverDevices_callback_onerror,Check if error callback of discoverDevices method invoked,1,,,,,,,,,
